Last Modified,URL,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/third-age-language-learning,centres-and-institutes,language-development-throughout-the-lifespan,third-age-language-learning,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/higher-order-networks-and-network-inference,centres-and-institutes,social-and-economic-network-analysis,higher-order-networks-and-network-inference,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/network-and-social-identity,centres-and-institutes,social-and-economic-network-analysis,network-and-social-identity,,,,,
2024-01-10,https://www.essex.ac.uk/departments/government/research/political-economy,departments,government,research,political-economy,,,,
2024-01-09,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/robotics-and-embedded-systems,departments,computer-science-and-electronic-engineering,research,robotics-and-embedded-systems,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/law-business-and-technology-id-hub,departments,law,research,law-business-and-technology-id-hub,,,,
2023-11-28,https://www.essex.ac.uk/departments/law/research/business-law,departments,law,research,business-law,,,,
2023-07-18,https://www.essex.ac.uk/departments/law/research/human-rights,departments,law,research,human-rights,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/public-law,departments,law,research,public-law,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/socio-legal-studies,departments,law,research,socio-legal-studies,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/health-law,departments,law,research,health-law,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/law-and-technology,departments,law,research,law-and-technology,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/criminal-justice,departments,law,research,criminal-justice,,,,
2024-01-11,https://www.essex.ac.uk/departments/government/research/international-relations-and-conflict,departments,government,research,international-relations-and-conflict,,,,
2021-10-01,https://www.essex.ac.uk/research/gcrf,research,gcrf,,,,,,
2024-02-14,https://www.essex.ac.uk/departments/life-sciences/research/ecology-and-environmental-microbiology-group,departments,life-sciences,research,ecology-and-environmental-microbiology-group,,,,
2024-02-07,https://www.essex.ac.uk/departments/government/research/political-behaviour,departments,government,research,political-behaviour,,,,
2024-02-19,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/communications-and-networks,departments,computer-science-and-electronic-engineering,research,communications-and-networks,,,,
2024-03-13,https://www.essex.ac.uk/departments/psychology/facilities/centre-for-brain-science/babylab,departments,psychology,facilities,centre-for-brain-science,babylab,,,
2023-07-24,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/american-literatures-and-cultures,departments,literature-film-and-theatre-studies,research,american-literatures-and-cultures,,,,
2023-07-24,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/comparative-literature-and-translation,departments,literature-film-and-theatre-studies,research,comparative-literature-and-translation,,,,
2023-07-24,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/creative-writing-and-scriptwriting,departments,literature-film-and-theatre-studies,research,creative-writing-and-scriptwriting,,,,
2023-07-24,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/ecocriticism-green-writing-and-literary-geographies,departments,literature-film-and-theatre-studies,research,ecocriticism-green-writing-and-literary-geographies,,,,
2024-03-05,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/speculative-humanities,departments,literature-film-and-theatre-studies,research,speculative-humanities,,,,
2023-07-24,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/human-rights-and-the-humanities,departments,literature-film-and-theatre-studies,research,human-rights-and-the-humanities,,,,
