last modified,url,level_1,level_1,level_2,level_2,level_3,level_3,level_4,level_4,level_5,level_5,level_6,level_6,level_7,level_7,level_8,level_8
2024-09-17,https://www.essex.ac.uk/schools-and-colleges,schools-and-colleges,schools-and-colleges,,,,,,,,,,,,,,
2024-09-20,https://www.essex.ac.uk/jobs,jobs,jobs,,,,,,,,,,,,,,
2024-09-11,https://www.essex.ac.uk/alumni,alumni,alumni,,,,,,,,,,,,,,
2024-05-24,https://www.essex.ac.uk/life/community-action-clinic,life,life,community-action-clinic,community-action-clinic,,,,,,,,,,,,
2024-10-08,https://www.essex.ac.uk/departments/law/essex-law-clinic,departments,departments,law,law,essex-law-clinic,essex-law-clinic,,,,,,,,,,
2024-11-26,https://www.essex.ac.uk/sustainability,sustainability,sustainability,,,,,,,,,,,,,,
2024-11-21,https://www.essex.ac.uk/life/accommodation/colchester/athlete-village,life,life,accommodation,accommodation,colchester,colchester,athlete-village,athlete-village,,,,,,,,
2024-05-16,https://www.essex.ac.uk/study-online,study-online,study-online,,,,,,,,,,,,,,
2024-12-05,https://www.essex.ac.uk/about/faculty-of-science-and-health,about,about,faculty-of-science-and-health,faculty-of-science-and-health,,,,,,,,,,,,
2024-12-05,https://www.essex.ac.uk/about/faculty-of-social-sciences,about,about,faculty-of-social-sciences,faculty-of-social-sciences,,,,,,,,,,,,
2024-12-05,https://www.essex.ac.uk/about/faculty-of-arts-and-humanities,about,about,faculty-of-arts-and-humanities,faculty-of-arts-and-humanities,,,,,,,,,,,,
2024-12-19,https://www.essex.ac.uk/postgraduate,postgraduate,postgraduate,,,,,,,,,,,,,,
2025-01-30,https://www.essex.ac.uk/choir,choir,choir,,,,,,,,,,,,,,
2024-05-16,https://www.essex.ac.uk/visit-us,visit-us,visit-us,,,,,,,,,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/psychology,departments,departments,psychology,psychology,,,,,,,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/language-and-linguistics,departments,departments,language-and-linguistics,language-and-linguistics,,,,,,,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/mathematics-statistics-and-actuarial-science,departments,departments,mathematics-statistics-and-actuarial-science,mathematics-statistics-and-actuarial-science,,,,,,,,,,,,
