course_url,course_name,degree_type
https://www.essex.ac.uk/courses/PG00496/1/MSc-Computational-Finance,Computational Finance,MSc
https://www.essex.ac.uk/courses/PR00884/3/MSc-by-Dissertation-Computational-Finance,By Dissertation Computational Finance,MSc
https://www.essex.ac.uk/courses/PR00884/1/PhD-Computational-Finance,Computational Finance,PhD
https://www.essex.ac.uk/courses/PG01382/1/MSc-Financial-Technology-Computer-Science,Financial Technology Computer Science,MSc
https://www.essex.ac.uk/courses/PR00884/2/MPhil-Computational-Finance,Computational Finance,MPhil
https://www.essex.ac.uk/courses/PR00888/3/MSc-by-Dissertation-Computing-and-Electronic-Systems,By Dissertation Computing And Electronic Systems,MSc
https://www.essex.ac.uk/courses/PG00627/1/MSc-Intelligent-Systems-and-Robotics,Intelligent Systems And Robotics,MSc
https://www.essex.ac.uk/courses/PR00887/1/PhD-Computer-Science,Computer Science,PhD
https://www.essex.ac.uk/courses/UG00282/1/BSc-Mathematics-with-Computing,Mathematics With Computing,BSc
https://www.essex.ac.uk/courses/PG00500/1/MSc-Computer-Engineering,Computer Engineering,MSc
https://www.essex.ac.uk/courses/UG00066/1/BSc-Computer-Games,Computer Games,BSc
https://www.essex.ac.uk/courses/PG01033/1/MSc-Computer-Games,Computer Games,MSc
https://www.essex.ac.uk/courses/UG01061/1/BEng-Robotic-Engineering,Robotic Engineering,BEng
https://www.essex.ac.uk/courses/PR00888/1/PhD-Computing-and-Electronic-Systems,Computing And Electronic Systems,PhD
https://www.essex.ac.uk/courses/PR00887/5/PhD-Computer-Science,Computer Science,PhD
https://www.essex.ac.uk/courses/UG01385/3/BSc-Computational-Linguistics,Computational Linguistics,BSc
https://www.essex.ac.uk/courses/PG00435/1/MSc-Advanced-Computer-Science,Advanced Computer Science,MSc
https://www.essex.ac.uk/courses/UG00069/1/BSc-Computer-Science,Computer Science,BSc
https://www.essex.ac.uk/courses/PG01630/1/MSc-Cyber-Security,Cyber Security,MSc
https://www.essex.ac.uk/courses/PR01632/1/PhD-Artificial-Intelligence,Artificial Intelligence,PhD
https://www.essex.ac.uk/courses/UG00069/2/BSc-Computer-Science,Computer Science,BSc
https://www.essex.ac.uk/courses/UG01422/1/Integrated-Master-in-Science-Mathematics-and-Data-Science,Master In Science Mathematics And Data Science,Integrated
https://www.essex.ac.uk/courses/PG01381/1/MSc-Financial-Technology-Economics,Financial Technology Economics,MSc
https://www.essex.ac.uk/courses/PG00457/1/MSc-Artificial-Intelligence,Artificial Intelligence,MSc
https://www.essex.ac.uk/courses/PR00888/2/MPhil-Computing-and-Electronic-Systems,Computing And Electronic Systems,MPhil
https://www.essex.ac.uk/courses/PR00887/3/MSc-by-Dissertation-Computer-Science,By Dissertation Computer Science,MSc
https://www.essex.ac.uk/courses/PG01399/1/MSc-Applications-of-Artificial-Intelligence,Applications Of Artificial Intelligence,MSc
https://www.essex.ac.uk/courses/UG00080/1/BEng-Computers-with-Electronics,Computers With Electronics,BEng
